DATA,ABERTURA,FECHAMENTO,VARIACAO,MINIMO,MAXIMO,VOLUME
06/03/2018,21.26,20.69,-0.99,20.65,21.38,1.20B
05/03/2018,20.30,20.90,2.84,20.18,20.94,1.12B
02/03/2018,19.56,20.32,2.28,19.38,20.32,1.04B
01/03/2018,20.22,19.87,-2.00,19.61,20.27,1.33B
28/02/2018,20.43,20.27,-0.19,20.01,20.57,1.34B
27/02/2018,20.28,20.31,-0.09,20.16,20.64,875.49M
26/02/2018,20.22,20.33,1.89,20.20,20.49,980.96M
23/02/2018,19.79,19.95,1.83,19.48,19.97,1.10B
22/02/2018,19.45,19.59,2.42,19.40,19.67,746.11M
21/02/2018,19.45,19.13,-0.93,19.13,19.73,1.08B
20/02/2018,18.78,19.31,1.95,18.72,19.67,1.30B
19/02/2018,18.47,18.94,3.24,18.47,18.99,769.60M
16/02/2018,18.38,18.35,0.10,18.24,18.50,638.37M
15/02/2018,18.42,18.33,0.78,18.11,18.46,585.48M
14/02/2018,17.96,18.19,2.56,17.91,18.29,785.85M
09/02/2018,17.98,17.73,-1.47,17.49,18.32,1.23B
08/02/2018,18.47,18.00,-2.01,17.76,18.65,928.40M
07/02/2018,18.87,18.37,-2.75,18.29,19.10,1.16B
06/02/2018,17.63,18.89,4.99,17.59,18.89,1.36B
05/02/2018,18.56,17.99,-4.66,17.99,18.87,1.15B
02/02/2018,19.18,18.87,-2.68,18.75,19.29,962.22M
01/02/2018,18.67,19.39,4.16,18.67,19.48,993.99M
31/01/2018,18.65,18.61,1.08,18.59,18.83,778.33M
30/01/2018,18.68,18.41,-1.81,18.29,18.68,852.66M
29/01/2018,18.58,18.75,-0.40,18.49,18.94,1.04B
26/01/2018,18.54,18.83,3.05,18.04,18.88,1.52B
24/01/2018,17.40,18.27,5.74,17.40,18.54,1.61B
23/01/2018,17.38,17.28,-0.97,17.01,17.44,685.54M
22/01/2018,17.45,17.45,1.15,17.09,17.45,586.62M
19/01/2018,17.30,17.25,0.22,17.03,17.40,574.82M
18/01/2018,17.34,17.21,-0.76,16.94,17.51,837.37M
17/01/2018,16.93,17.35,4.02,16.83,17.35,999.02M
16/01/2018,16.39,16.67,1.73,16.34,16.85,978.24M
15/01/2018,16.39,16.39,0.29,16.20,16.48,474.20M
12/01/2018,16.10,16.34,0.29,16.08,16.45,748.27M
11/01/2018,15.95,16.30,2.68,15.91,16.34,612.37M
10/01/2018,15.98,15.87,-1.35,15.84,16.11,456.38M
09/01/2018,16.09,16.09,0.00,16.02,16.21,565.49M
08/01/2018,16.09,16.09,1.19,15.79,16.09,454.01M
05/01/2018,15.78,15.90,0.60,15.65,15.93,427.02M
04/01/2018,15.85,15.81,0.18,15.70,16.02,589.60M
03/01/2018,15.58,15.78,0.91,15.47,15.80,876.33M
02/01/2018,15.30,15.64,2.80,15.30,15.64,519.25M
28/12/2017,15.21,15.21,0.31,15.12,15.24,288.90M
27/12/2017,15.11,15.16,0.50,15.10,15.25,357.32M
26/12/2017,14.88,15.09,1.40,14.82,15.11,332.37M
22/12/2017,14.88,14.88,-0.69,14.82,15.01,279.07M
21/12/2017,14.46,14.98,4.07,14.45,14.99,697.12M
20/12/2017,14.37,14.40,0.66,14.33,14.45,289.96M
19/12/2017,14.34,14.30,-0.53,14.23,14.41,323.72M
18/12/2017,14.32,14.38,1.80,14.29,14.48,615.54M
15/12/2017,14.22,14.12,-0.40,14.12,14.40,793.00M
14/12/2017,14.27,14.18,-1.12,14.17,14.46,530.91M
13/12/2017,14.78,14.34,-2.00,14.27,14.81,684.37M
12/12/2017,14.51,14.63,0.72,14.34,14.63,523.98M
11/12/2017,14.62,14.53,0.20,14.52,14.71,310.51M
08/12/2017,14.65,14.50,0.59,14.50,14.81,581.39M
07/12/2017,14.45,14.42,-1.68,14.24,14.63,538.94M
06/12/2017,14.38,14.66,1.37,14.30,14.83,571.62M
05/12/2017,14.64,14.46,-1.10,14.37,14.96,444.53M
04/12/2017,14.78,14.62,-0.83,14.61,14.93,645.50M
01/12/2017,14.49,14.75,1.50,14.42,14.90,629.31M
30/11/2017,14.45,14.53,0.33,14.16,14.61,761.62M
